Sample Site,Sample Date,Parameter,Numeric Result,Result Qualifier,Formatted Result,Result Units
Fish Creek 37th St,11/1/2021 9:35,Water Temperature (Field),0.6,,0.6,°C
Fish Creek 37th St,12/6/2021 9:13,Water Temperature (Field),1.5,,1.5,°C
Fish Creek 37th St,2/7/2022 9:22,Water Temperature (Field),1.7,,1.7,°C
Fish Creek 37th St,1/3/2022 10:33,Water Temperature (Field),1.4,,1.4,°C
Fish Creek 37th St,5/2/2022 9:31,Water Temperature (Field),7.7,,7.7,°C
Fish Creek 37th St,3/7/2022 10:12,Water Temperature (Field),1.1,,1.1,°C
Fish Creek 37th St,4/4/2022 9:23,Water Temperature (Field),0.7,,0.7,°C
Fish Creek 37th St,4/3/2023 9:35,Water Temperature (Field),1.1,,1.1,°C
Fish Creek 37th St,7/4/2022 9:15,Water Temperature (Field),13.2,,13.2,°C
Fish Creek 37th St,8/2/2022 9:02,Water Temperature (Field),18.3,,18.3,°C
Fish Creek 37th St,6/6/2022 9:48,Water Temperature (Field),14.2,,14.2,°C
Fish Creek 37th St,1/22/2008 12:00,Water Temperature (Field),2.2,,2.2,°C
Fish Creek 37th St,10/26/2010 10:10,Water Temperature (Field),3,,3,°C
Fish Creek 37th St,6/1/2021 9:23,Water Temperature (Field),14.8,,14.8,°C
Fish Creek 37th St,9/1/2020 9:37,Water Temperature (Field),12.6,,12.6,°C
Fish Creek 37th St,5/3/2021 9:48,Water Temperature (Field),7.3,,7.3,°C
Fish Creek 37th St,9/30/2008 12:00,Water Temperature (Field),9.1,,9.1,°C
Fish Creek 37th St,2/26/2013 11:05,Water Temperature (Field),0.8,,0.8,°C
Fish Creek 37th St,5/1/2023 9:24,Water Temperature (Field),8.4,,8.4,°C
Fish Creek 37th St,8/3/2021 9:53,Water Temperature (Field),17.9,,17.9,°C
Fish Creek 37th St,7/5/2021 9:22,Water Temperature (Field),17.2,,17.2,°C
Fish Creek 37th St,9/7/2021 9:23,Water Temperature (Field),11.2,,11.2,°C
Fish Creek 37th St,10/1/2018 9:51,Water Temperature (Field),3.6,,3.6,°C
Fish Creek 37th St,11/5/2018 10:14,Water Temperature (Field),1,,1,°C
Fish Creek 37th St,12/3/2018 10:19,Water Temperature (Field),-0.2,,-0.2,°C
Fish Creek 37th St,1/7/2019 10:33,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,2/6/2019 9:05,Water Temperature (Field),1.5,,1.5,°C
Fish Creek 37th St,3/4/2019 9:37,Water Temperature (Field),1.7,,1.7,°C
Fish Creek 37th St,4/1/2019 9:58,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,5/6/2019 10:54,Water Temperature (Field),4.4,,4.4,°C
Fish Creek 37th St,6/3/2019 10:04,Water Temperature (Field),14.9,,14.9,°C
Fish Creek 37th St,7/2/2019 9:50,Water Temperature (Field),13.6,,13.6,°C
Fish Creek 37th St,8/6/2019 9:07,Water Temperature (Field),17.7,,17.7,°C
Fish Creek 37th St,9/3/2019 10:36,Water Temperature (Field),13.8,,13.8,°C
Fish Creek 37th St,10/7/2019 9:16,Water Temperature (Field),4,,4,°C
Fish Creek 37th St,11/4/2019 9:43,Water Temperature (Field),0.3,,0.3,°C
Fish Creek 37th St,12/2/2019 9:40,Water Temperature (Field),0.4,,0.4,°C
Fish Creek 37th St,2/3/2020 10:14,Water Temperature (Field),0.7,,0.7,°C
Fish Creek 37th St,3/2/2020 10:07,Water Temperature (Field),0.1,,0.1,°C
Fish Creek 37th St,4/9/2020 10:21,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,6/3/2020 10:03,Water Temperature (Field),12.1,,12.1,°C
Fish Creek 37th St,8/5/2020 8:44,Water Temperature (Field),17.1,,17.1,°C
Fish Creek 37th St,7/9/2020 9:26,Water Temperature (Field),14.7,,14.7,°C
Fish Creek 37th St,12/2/2020 8:50,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,1/4/2021 9:37,Water Temperature (Field),0,,0,°C
Fish Creek 37th St,2/1/2021 9:21,Water Temperature (Field),0.2,,0.2,°C
Fish Creek 37th St,10/7/2002 0:00,Water Temperature (Field),6.1,,6.1,°C
Fish Creek 37th St,3/21/2006 0:00,Water Temperature (Field),-0.7,,-0.7,°C
Fish Creek 37th St,11/8/2016 10:19,Water Temperature (Field),3.1,,3.1,°C
Fish Creek 37th St,8/8/2006 0:00,Water Temperature (Field),16.5,,16.5,°C
Fish Creek 37th St,8/3/2010 9:20,Water Temperature (Field),15.8,,15.8,°C
