INCIDENT INFO,START_DT,QUADRANT
 Berkshire Boulevard and Beddington Boulevard NW ,9/15/2023 8:44,NW
 Heritage Drive and Fairview Drive SE ,9/15/2023 8:27,SE
 Eastbound Glenmore Trail at Deerfoot Trail SE ,9/15/2023 7:39,SE
 4 Avenue and 2 Street SW ,9/15/2023 6:52,SW
 Northbound Barlow Trail at 90 Avenue SE ,9/15/2023 6:44,SE
 Northbound Barlow Trail at 90 Avenue SE ,9/15/2023 6:44,SE
 Southbound Sarcee Trail approaching Bow Trail SW ,9/14/2023 19:36,SW
 Eastbound Memorial Drive approaching Deerfoot Trail SE ,9/14/2023 17:50,SE
 Eastbound Memorial Drive approaching Deerfoot Trail SE ,9/14/2023 17:50,SE
 Northbound Symons Valley Road north of Stoney Trail NW ,9/14/2023 17:46,NW
 Northbound Deerfoot Trail approaching Anderson Road SE ,9/14/2023 17:29,SE
 Memorial Drive and 68 Street NE ,9/14/2023 16:59,NE
 Northbound Macleod Trail at 39 Avenue SW ,9/14/2023 16:54,SW
 Eastbound 32 Avenue at 38 Street NE ,9/14/2023 15:37,NE
 Eastbound 32 Avenue at 38 Street NE ,9/14/2023 15:37,NE
 Southbound Stoney Trail at Nose Hill Drive NW ,9/14/2023 15:24,NW
 5 Avenue approaching Memorial Drive SE ,9/14/2023 15:13,SE
 Varsity Drive and Shaganappi Trail NW ,9/14/2023 11:01,NW
 Richard Wy and Richard Road SW ,9/14/2023 10:21,SW
 Westbound 17 Avenue and Deerfoot Trail SE ,9/14/2023 10:01,SE
 Southbound Deerfoot Trail and Country Hills Boulevard NE ,9/14/2023 9:28,NE
 Northbound Crowchild Trail and 17 Avenue SW ,9/14/2023 9:16,SW
 Westbound Bonaventure Drive and Southland Drive SE ,9/14/2023 9:13,NW
 Falconridge Boulevard and Castlebrook Drive NE ,9/14/2023 8:44,NE
 Memorial Drive and 28 Street SE ,9/14/2023 8:40,SE
 Westbound Glenmore Trail and 14 Street SW ,9/14/2023 8:18,SW
 24 Avenue and Upper Pl NW ,9/14/2023 8:11,NW
 Eastbound Country Hills Boulevard and 14 Street NE ,9/14/2023 7:55,NE
 Southbound Deerfoot Trail and 96 Avenue NE ,9/14/2023 7:21,NW
 Eastbound Glenmore Trail and Blackfoot Trail SE ,9/14/2023 7:18,SE
 Northbound Deerfoot Trail and Bow Bottom Trail SE ,9/14/2023 6:50,SE
 Eastbound McKnight Boulevard and 4 Street NW ,9/13/2023 17:59,NW
 Eastbound Glenmore Trail approaching 14 Street SW ,9/13/2023 17:41,SW
 Northbound Stoney Trail at 17 Avenue  SE ,9/13/2023 17:36,SE
 Southbound Sarcee Trail south of Country Hills Boulevard NW ,9/13/2023 17:26,NW
 128 Avenue and 60 Street NE ,9/13/2023 16:49,NE
 Northbound Deerfoot Trail north of Glenmore Trail SE ,9/13/2023 16:44,SE
 17 Avenue at 17 Street SW ,9/13/2023 16:20,SW
 Southbound 37 Street south of 17 Avenue SW ,9/13/2023 16:13,SW
 Eastbound Southland Drive at Maplecreek Drive SE ,9/13/2023 16:08,SE
 Southbound Crowchild Trail at 50 Avenue SW ,9/13/2023 15:59,SW
 Eastbound Glenmore Trail approaching 14 Street SW ,9/13/2023 13:17,SW
 Eastbound Glenmore Trail approaching 14 Street SW ,9/13/2023 13:13,NW
 40 Street and 80 Avenue NE ,9/13/2023 12:56,NE
 Southbound Bow Bottom Trail and Diamond Drive SE ,9/13/2023 12:48,SE
 Edmonton Trail and 11 Avenue NE ,9/13/2023 12:09,NE
 14 Avenue and 8 Street SW ,9/13/2023 10:58,SW
 40 Avenue and Centre B Street NW ,9/13/2023 9:05,NW
 Westbound Glenmore Trail after 14 Street SW ,9/13/2023 9:05,NW
 19 Street and Capri Avenue NW ,9/13/2023 8:42,NW
 Coach Hill Road and Old Banff Coach Road SW ,9/13/2023 8:36,SW
 17 Avenue and 35 Street SW ,9/13/2023 8:08,SW
 Northbound Deerfoot Trail and Douglasdale Boulevard  SE ,9/13/2023 6:56,SE
 Spruce Meadows Trail and 85 Street SW ,9/13/2023 6:48,SW
 Silverthorn Road and Silver Springs Boulevard NW ,9/13/2023 6:29,NW
 43 Avenue and 68 Street NE ,9/13/2023 6:25,NE
 Northbound Deerfoot Trail and Peigan Trail SE ,9/13/2023 0:40,SE
 Northbound 36 Street and 80 Avenue NE ,9/12/2023 22:33,NE
 Northbound Shaganappi Trail and John Laurie Boulevard NW ,9/12/2023 21:38,NW
